DATE,"S&P500 Index value (friday is closing, monday is open price)",change: Monday – Friday,Y = binary (0: went down or no change & 1: opened higher on Monday compared to last Friday's closing),,,,,,,$BTC
"Monday, January 20, 2020",3321.03,-8.59,0,,,,,,,
"Friday, January 24, 2020",3295.47,,,,,,,,,
"Monday, January 27, 2020",3247.16,-48.31,0,,,,,,,
"Friday, January 31, 2020",3225.52,,,,,,,,,
"Monday, February 3, 2020",3235.66,10.14,1,,,,,,,
"Friday, February 7, 2020",3327.71,,,,,,,,,
"Monday, February 10, 2020",3318.28,-9.43,0,,,,,,,
"Friday, February 14, 2020",3380.16,,,,,,,,,
"Monday, February 17, 2020",3369.04,-11.12,0,,,,,,,
"Friday, February 21, 2020",3337.75,,,,,,,,,
"Monday, February 24, 2020",3257.61,-80.14,0,,,,,,,
"Friday, February 28, 2020",2954.22,,,,,,,,,
"Monday, March 2, 2020",2974.28,20.06,1,,,,,,,
"Friday, March 6, 2020",2972.37,,,,,,,,,
"Monday, March 9, 2020",2863.89,-108.48,0,,,,,,,
"Friday, March 13, 2020",2711.02,,,,,,,,,
"Monday, March 16, 2020",2508.59,-202.43,0,,,,,,,
"Friday, March 20, 2020",2304.92,,,,,,,,,
"Monday, March 23, 2020",2290.71,-14.21,0,,,,,,,
"Friday, March 27, 2020",2541.47,,,,,,,,,
"Monday, March 30, 2020",2558.98,17.51,1,,,,,,,
"Friday, April 3, 2020",2488.65,,,,,,,,,
"Monday, April 6, 2020",2578.28,89.63,1,,,,,,,
"Friday, April 10, 2020",2761.63,,,,,,,,,
"Monday, April 13, 2020",2782.46,20.83,1,,,,,,,
"Friday, April 17, 2020",2874.56,,,,,,,,,
"Monday, April 20, 2020",2845.62,-28.94,0,,,,,,,
"Friday, April 24, 2020",2836.74,,,,,,,,,
"Monday, April 27, 2020",2854.65,17.91,1,,,,,,,
"Friday, May 1, 2020",2830.71,,,,,,,,,
"Monday, May 4, 2020",2815.01,-15.7,0,,,,,,,
"Friday, May 8, 2020",2929.8,,,,,,,,,
"Monday, May 11, 2020",2915.46,-14.34,0,,,,,,,
"Friday, May 15, 2020",2863.7,,,,,,,,,
"Monday, May 18, 2020",2913.86,50.16,1,,,,,,,
"Friday, May 22, 2020",2955.45,,,,,,,,,
"Monday, May 25, 2020",3004.08,48.63,1,,,,,,,
"Friday, May 29, 2020",3044.31,,,,,,,,,
"Monday, June 1, 2020",3038.78,-5.53,0,,,,,,,
"Friday, June 5, 2020",3193.93,,,,,,,,,
"Monday, June 8, 2020",3199.92,5.99,1,,,,,,,
"Friday, June 12, 2020",3041.31,,,,,,,,,
"Monday, June 15, 2020",2993.76,-47.55,0,,,,,,,
"Friday, June 19, 2020",3097.74,,,,,,,,,
"Monday, June 22, 2020",3094.42,-3.32,0,,,,,,,
"Friday, June 26, 2020",3009.05,,,,,,,,,
"Monday, June 29, 2020",3018.59,9.54,1,,,,,,,
"Friday, July 3, 2020",3179.72,,,,,,,,,
"Monday, July 6, 2020",3155.29,-24.43,0,,,,,,,
"Friday, July 10, 2020",3185.04,,,,,,,,,
"Monday, July 13, 2020",3205.08,20.04,1,,,,,,,
"Friday, July 17, 2020",3224.73,,,,,,,,,
"Monday, July 20, 2020",3224.29,-0.44,0,,,,,,,
"Friday, July 24, 2020",3215.63,,,,,,,,,
"Monday, July 27, 2020",3219.84,4.21,1,,,,,,,
"Friday, July 31, 2020",3271.12,,,,,,,,,
"Monday, August 3, 2020",3288.26,17.14,1,,,,,,,
"Friday, August 7, 2020",3351.28,,,,,,,,,
"Monday, August 10, 2020",3356.04,4.76,1,,,,,,,
"Friday, August 14, 2020",3372.85,,,,,,,,,
"Monday, August 17, 2020",3380.86,8.01,1,,,,,,,
